1.1,0.9,1.0,81.6,0.46,1.378,0.773,0.777,0.869,0.702,0.777,0.009,0.011,0.005,0.042
1.1,0.9,1.0,70.2,0.371,1.128,0.621,0.703,0.826,0.612,0.703,0.01,0.027,0.027,0.07
1.1,0.9,3.0,68.4,0.346,1.15,0.589,0.67,0.789,0.582,0.67,0.01,0.024,0.027,0.071
1.1,0.9,9.0,81.1,0.47,0.932,0.723,0.748,0.804,0.699,0.748,0.01,0.011,0.005,0.072
1.6,0.7,7.0,62.4,0.112,1.551,0.463,0.585,0.557,0.616,0.585,0.022,0.027,0.028,0.077
1.6,0.9,1.0,66.0,0.41,1.086,0.669,0.746,0.897,0.638,0.746,0.009,0.027,0.027,0.046
1.6,0.9,2.0,65.8,0.407,1.148,0.68,0.746,0.899,0.637,0.746,0.009,0.026,0.028,0.051
1.6,0.9,4.0,66.4,0.41,1.088,0.67,0.748,0.899,0.64,0.748,0.009,0.026,0.026,0.046
1.6,0.9,5.0,66.1,0.411,1.087,0.672,0.749,0.901,0.641,0.749,0.009,0.026,0.026,0.047
1.6,0.9,7.0,65.9,0.411,1.085,0.67,0.747,0.899,0.639,0.747,0.009,0.027,0.027,0.047
1.6,0.9,8.0,65.9,0.41,1.086,0.669,0.746,0.897,0.638,0.746,0.009,0.027,0.027,0.046
1.6,0.9,9.0,66.2,0.407,1.147,0.68,0.745,0.899,0.636,0.745,0.009,0.026,0.028,0.051
2.1,0.4,2.0,66.8,0.226,1.367,0.542,0.651,0.521,0.868,0.651,0.027,0.008,0.004,0.08
2.1,0.9,1.0,67.6,0.419,1.071,0.685,0.76,0.915,0.649,0.76,0.009,0.025,0.026,0.033
2.1,0.9,2.0,67.7,0.419,1.07,0.685,0.759,0.914,0.648,0.759,0.009,0.025,0.026,0.034
2.1,0.9,3.0,66.6,0.409,1.153,0.688,0.754,0.911,0.643,0.754,0.009,0.025,0.027,0.036
2.1,0.9,4.0,65.4,0.405,1.154,0.673,0.741,0.898,0.631,0.741,0.01,0.027,0.031,0.047
2.1,0.9,5.0,67.0,0.409,1.152,0.689,0.755,0.912,0.645,0.755,0.009,0.024,0.027,0.037
2.1,0.9,6.0,67.1,0.419,1.072,0.685,0.759,0.915,0.649,0.759,0.009,0.026,0.027,0.033
2.1,0.9,7.0,67.6,0.418,1.071,0.685,0.759,0.915,0.649,0.759,0.009,0.025,0.026,0.033
2.1,0.9,9.0,67.6,0.418,1.072,0.685,0.759,0.915,0.649,0.759,0.009,0.025,0.027,0.033
2.6,0.2,7.0,66.7,0.193,1.136,0.542,0.652,0.521,0.874,0.652,0.027,0.007,0.002,0.081
2.6,0.9,1.0,71.0,0.404,1.174,0.705,0.767,0.923,0.656,0.767,0.009,0.021,0.026,0.041
2.6,0.9,2.0,72.5,0.401,1.176,0.713,0.769,0.923,0.66,0.769,0.009,0.019,0.025,0.041
2.6,0.9,3.0,65.9,0.41,1.15,0.68,0.75,0.91,0.638,0.75,0.009,0.026,0.031,0.042
2.6,0.9,4.0,73.3,0.42,1.037,0.71,0.765,0.915,0.657,0.765,0.009,0.02,0.024,0.036
2.6,0.9,5.0,71.1,0.404,1.174,0.706,0.767,0.923,0.656,0.767,0.009,0.021,0.026,0.041
2.6,0.9,6.0,71.4,0.421,1.043,0.701,0.765,0.919,0.655,0.765,0.009,0.022,0.025,0.036
2.6,0.9,7.0,73.4,0.419,1.036,0.711,0.765,0.915,0.658,0.765,0.009,0.02,0.025,0.036
2.6,0.9,8.0,74.7,0.402,1.18,0.715,0.769,0.921,0.66,0.769,0.009,0.02,0.025,0.04
2.6,0.9,9.0,71.8,0.415,1.125,0.705,0.765,0.92,0.654,0.765,0.009,0.024,0.029,0.036
3.1,0.9,3.0,76.1,0.401,1.169,0.733,0.767,0.909,0.664,0.767,0.009,0.016,0.023,0.045
3.1,0.9,4.0,73.7,0.415,1.119,0.718,0.769,0.92,0.66,0.769,0.009,0.023,0.03,0.042
3.1,0.9,5.0,75.4,0.424,1.036,0.72,0.761,0.905,0.656,0.761,0.009,0.018,0.024,0.038
3.1,0.9,6.0,75.8,0.401,1.168,0.73,0.765,0.908,0.661,0.765,0.009,0.017,0.023,0.045
3.1,0.9,7.0,66.3,0.411,1.152,0.682,0.755,0.916,0.642,0.755,0.009,0.024,0.03,0.044
3.1,0.9,8.0,75.4,0.4,1.171,0.728,0.765,0.909,0.66,0.765,0.009,0.017,0.024,0.043
3.1,0.9,9.0,77.4,0.398,1.161,0.746,0.775,0.913,0.673,0.775,0.009,0.015,0.023,0.048
3.6,0.5,5.0,67.7,0.186,1.689,0.551,0.665,0.547,0.849,0.665,0.026,0.026,0.027,0.081
3.6,0.5,7.0,67.7,0.199,2.019,0.554,0.67,0.555,0.846,0.67,0.026,0.027,0.028,0.081
4.1,0.9,1.0,67.4,0.411,1.16,0.684,0.759,0.921,0.645,0.759,0.009,0.022,0.029,0.057
4.1,0.9,2.0,82.2,0.37,1.07,0.807,0.815,0.919,0.732,0.815,0.01,0.015,0.026,0.064
4.1,0.9,3.0,73.9,0.418,1.136,0.715,0.767,0.919,0.658,0.767,0.009,0.019,0.028,0.054
4.1,0.9,4.0,73.8,0.417,1.133,0.714,0.767,0.919,0.658,0.767,0.009,0.02,0.028,0.055
4.1,0.9,6.0,68.1,0.411,1.159,0.685,0.759,0.921,0.645,0.759,0.009,0.022,0.029,0.057
4.1,0.9,7.0,67.0,0.411,1.161,0.683,0.758,0.921,0.644,0.758,0.009,0.022,0.029,0.058
5.1,0.9,5.0,67.7,0.407,1.175,0.678,0.751,0.913,0.638,0.751,0.009,0.02,0.028,0.072
5.1,0.9,7.0,67.5,0.407,1.176,0.678,0.751,0.913,0.638,0.751,0.009,0.02,0.028,0.072
6.1,0.9,4.0,82.9,0.542,0.928,0.811,0.818,0.907,0.745,0.818,0.009,0.016,0.027,0.085
6.1,0.9,5.0,68.4,0.406,1.179,0.678,0.75,0.912,0.638,0.75,0.009,0.018,0.028,0.084
6.1,0.9,7.0,76.6,0.421,1.165,0.726,0.761,0.905,0.657,0.761,0.01,0.014,0.025,0.077
7.1,0.9,6.0,76.0,0.408,1.152,0.704,0.755,0.905,0.647,0.755,0.011,0.012,0.023,0.085
8.1,0.9,4.0,73.7,0.397,1.235,0.678,0.729,0.879,0.623,0.729,0.015,0.012,0.021,0.088
8.1,0.9,9.0,70.0,0.405,1.184,0.68,0.75,0.91,0.638,0.75,0.01,0.016,0.027,0.112
9.1,0.5,1.0,67.7,0.18,2.154,0.539,0.633,0.559,0.729,0.633,0.021,0.025,0.027,0.082
9.1,0.9,4.0,74.3,0.406,1.196,0.7,0.756,0.91,0.647,0.756,0.01,0.013,0.025,0.118
9.1,0.9,6.0,83.3,0.542,0.882,0.786,0.801,0.886,0.732,0.801,0.011,0.011,0.025,0.11
1.1,0.9,1.0,72.2,0.265,0.881,0.522,0.577,0.559,0.597,0.577,0.008,0.021,0.023,0.058
1.1,0.9,1.0,72.5,0.241,0.637,0.493,0.553,0.507,0.609,0.553,0.007,0.013,0.003,0.053
1.1,0.9,3.0,75.0,0.306,0.639,0.497,0.557,0.512,0.61,0.557,0.007,0.014,0.005,0.046
1.1,0.9,9.0,71.4,0.23,1.079,0.505,0.561,0.53,0.597,0.561,0.008,0.021,0.022,0.059
1.6,0.7,7.0,68.4,0.183,0.661,0.457,0.523,0.444,0.636,0.523,0.007,0.013,0.003,0.021
1.6,0.9,1.0,67.0,-0.036,1.79,0.424,0.471,0.509,0.439,0.471,0.011,0.017,0.019,0.05
1.6,0.9,2.0,59.6,-0.052,1.75,0.371,0.457,0.494,0.425,0.457,0.01,0.021,0.023,0.033
1.6,0.9,4.0,66.7,-0.048,1.745,0.415,0.463,0.501,0.431,0.463,0.011,0.017,0.019,0.05
1.6,0.9,5.0,59.1,-0.012,1.759,0.383,0.469,0.517,0.429,0.469,0.01,0.022,0.024,0.033
1.6,0.9,7.0,60.1,0.084,1.672,0.394,0.472,0.503,0.445,0.472,0.008,0.017,0.021,0.062
1.6,0.9,8.0,59.7,-0.003,1.755,0.402,0.483,0.531,0.444,0.483,0.01,0.022,0.024,0.033
1.6,0.9,9.0,59.8,-0.027,1.785,0.391,0.474,0.515,0.439,0.474,0.01,0.022,0.024,0.033
2.1,0.4,2.0,70.9,0.248,0.646,0.477,0.542,0.477,0.628,0.542,0.009,0.012,0.003,0.101
2.1,0.9,1.0,59.6,-0.116,1.846,0.359,0.443,0.462,0.426,0.443,0.01,0.016,0.021,0.021
2.1,0.9,2.0,58.0,-0.063,1.906,0.369,0.455,0.493,0.422,0.455,0.011,0.016,0.021,0.022
2.1,0.9,3.0,66.4,-0.104,1.849,0.397,0.447,0.468,0.428,0.447,0.011,0.011,0.017,0.044
2.1,0.9,4.0,66.6,-0.138,1.833,0.394,0.445,0.462,0.429,0.445,0.011,0.011,0.017,0.044
2.1,0.9,5.0,57.6,0.056,2.211,0.374,0.456,0.463,0.45,0.456,0.009,0.01,0.019,0.073
2.1,0.9,6.0,66.8,0.105,1.917,0.414,0.465,0.481,0.449,0.465,0.011,0.011,0.017,0.044
2.1,0.9,7.0,58.6,-0.027,1.856,0.386,0.469,0.515,0.43,0.469,0.01,0.016,0.021,0.021
2.1,0.9,9.0,59.4,-0.067,1.826,0.37,0.455,0.489,0.425,0.455,0.01,0.016,0.021,0.021
2.6,0.2,7.0,71.1,0.251,0.648,0.478,0.543,0.478,0.628,0.543,0.009,0.012,0.003,0.102
2.6,0.9,1.0,58.2,-0.101,1.981,0.358,0.441,0.47,0.417,0.441,0.011,0.012,0.02,0.019
2.6,0.9,2.0,61.3,0.172,2.047,0.426,0.5,0.536,0.468,0.5,0.01,0.009,0.019,0.084
2.6,0.9,3.0,58.8,-0.116,1.943,0.358,0.441,0.464,0.42,0.441,0.011,0.012,0.02,0.019
2.6,0.9,4.0,66.5,-0.096,1.829,0.4,0.45,0.473,0.429,0.45,0.011,0.008,0.017,0.038
2.6,0.9,5.0,61.3,0.088,1.678,0.399,0.472,0.503,0.443,0.472,0.01,0.008,0.019,0.084
2.6,0.9,6.0,58.0,0.175,2.301,0.349,0.435,0.439,0.431,0.435,0.011,0.012,0.02,0.019
2.6,0.9,7.0,65.9,-0.141,1.87,0.39,0.442,0.46,0.426,0.442,0.011,0.008,0.017,0.038
2.6,0.9,8.0,61.4,0.176,1.975,0.429,0.503,0.541,0.471,0.503,0.01,0.008,0.019,0.084
2.6,0.9,9.0,65.6,-0.091,1.88,0.395,0.446,0.474,0.421,0.446,0.011,0.008,0.017,0.038
3.1,0.9,3.0,65.2,-0.113,1.881,0.387,0.441,0.463,0.421,0.441,0.011,0.007,0.018,0.034
3.1,0.9,4.0,58.1,0.173,2.348,0.352,0.436,0.437,0.435,0.436,0.011,0.011,0.02,0.027
3.1,0.9,5.0,62.4,0.2,2.027,0.445,0.514,0.556,0.477,0.514,0.01,0.007,0.019,0.095
3.1,0.9,6.0,65.5,0.135,2.169,0.384,0.44,0.452,0.428,0.44,0.011,0.007,0.018,0.035
3.1,0.9,7.0,58.4,0.095,2.145,0.385,0.462,0.481,0.445,0.462,0.01,0.007,0.019,0.094
3.1,0.9,8.0,59.4,0.163,1.767,0.439,0.506,0.568,0.456,0.506,0.01,0.007,0.019,0.095
3.1,0.9,9.0,66.2,-0.08,1.849,0.404,0.453,0.482,0.427,0.453,0.011,0.007,0.018,0.035
3.6,0.5,5.0,70.4,0.237,0.648,0.473,0.538,0.47,0.629,0.538,0.008,0.012,0.003,0.102
3.6,0.5,7.0,67.6,0.173,0.683,0.455,0.522,0.436,0.651,0.522,0.007,0.013,0.003,0.08
4.1,0.9,1.0,57.8,0.108,2.269,0.381,0.453,0.475,0.432,0.453,0.01,0.007,0.019,0.115
4.1,0.9,2.0,61.2,0.137,2.45,0.417,0.471,0.502,0.444,0.471,0.013,0.006,0.02,0.143
4.1,0.9,3.0,65.4,-0.09,1.927,0.398,0.448,0.477,0.423,0.448,0.011,0.007,0.019,0.037
4.1,0.9,4.0,57.9,0.105,2.244,0.382,0.455,0.476,0.435,0.455,0.011,0.007,0.019,0.116
4.1,0.9,6.0,64.9,0.135,1.684,0.432,0.49,0.528,0.457,0.49,0.011,0.007,0.019,0.116
4.1,0.9,7.0,56.8,-0.174,2.164,0.348,0.43,0.438,0.421,0.43,0.012,0.009,0.021,0.052
5.1,0.9,5.0,57.3,0.17,2.501,0.347,0.429,0.435,0.424,0.429,0.013,0.008,0.021,0.08
5.1,0.9,7.0,55.5,0.118,2.604,0.357,0.427,0.458,0.4,0.427,0.011,0.006,0.02,0.137
6.1,0.9,4.0,56.3,0.173,2.547,0.342,0.425,0.436,0.414,0.425,0.013,0.007,0.021,0.105
6.1,0.9,5.0,56.7,0.159,2.546,0.348,0.43,0.433,0.427,0.43,0.013,0.007,0.021,0.106
6.1,0.9,7.0,56.5,-0.149,2.179,0.35,0.429,0.444,0.415,0.429,0.013,0.007,0.021,0.106
7.1,0.9,6.0,65.5,-0.11,1.959,0.396,0.447,0.469,0.427,0.447,0.011,0.006,0.02,0.087
8.1,0.9,4.0,65.1,0.297,2.559,0.401,0.448,0.433,0.464,0.448,0.011,0.006,0.02,0.178
8.1,0.9,9.0,56.4,0.148,2.525,0.349,0.429,0.43,0.427,0.429,0.014,0.007,0.021,0.156
9.1,0.5,1.0,69.9,0.226,0.657,0.469,0.534,0.464,0.63,0.534,0.007,0.012,0.003,0.102
9.1,0.9,4.0,56.9,-0.158,2.205,0.345,0.424,0.441,0.408,0.424,0.014,0.006,0.02,0.176
9.1,0.9,6.0,64.9,-0.112,1.973,0.386,0.439,0.461,0.42,0.439,0.012,0.006,0.02,0.129
1.1,0.9,1.0,69.7,0.355,1.074,0.551,0.648,0.59,0.718,0.648,0.015,0.007,0.004,0.045
