71.6,0.619,0.752,0.721,0.865,0.827,0.907,0.865,0.177,0.05,0.062,0.048
71.8,0.619,0.752,0.721,0.865,0.827,0.907,0.865,0.183,0.044,0.062,0.048
71.5,0.604,0.783,0.72,0.864,0.826,0.905,0.864,0.164,0.048,0.016,0.052
71.7,0.604,0.768,0.72,0.864,0.826,0.906,0.864,0.187,0.06,0.024,0.064
79.9,0.719,0.374,0.781,0.902,0.824,0.996,0.902,0.169,0.081,0.046,1.202
87.9,0.506,0.637,0.792,0.874,0.854,0.895,0.874,0.154,0.05,0.059,0.685
74.2,0.505,0.785,0.711,0.829,0.791,0.872,0.829,0.193,0.047,0.041,0.713
88.4,0.516,0.629,0.797,0.875,0.858,0.894,0.875,0.193,0.065,0.064,0.689
84.7,0.567,0.515,0.78,0.879,0.845,0.917,0.879,0.195,0.066,0.04,0.697
87.2,0.587,0.495,0.795,0.887,0.863,0.912,0.887,0.189,0.081,0.059,0.682
87.8,0.506,0.638,0.792,0.874,0.854,0.895,0.874,0.159,0.059,0.074,0.691
84,0.555,0.514,0.78,0.885,0.845,0.93,0.885,0.203,0.07,0.05,0.69
60,0.54,0.598,0.477,0.712,0.569,0.952,0.712,0.156,0.076,0.033,2.519
89.9,0.61,0.508,0.818,0.894,0.879,0.909,0.894,0.2,0.07,0.048,1.452
91.5,0.638,0.451,0.837,0.901,0.891,0.912,0.901,0.197,0.079,0.064,1.449
90.5,0.625,0.463,0.824,0.897,0.883,0.91,0.897,0.214,0.075,0.059,1.456
89,0.609,0.48,0.808,0.888,0.871,0.905,0.888,0.213,0.08,0.059,1.458
85.6,0.529,0.636,0.763,0.848,0.831,0.865,0.848,0.18,0.045,0.048,1.469
91.9,0.643,0.447,0.842,0.904,0.894,0.913,0.904,0.18,0.072,0.055,1.45
94.3,0.627,0.497,0.875,0.905,0.901,0.909,0.905,0.173,0.063,0.061,1.456
93,0.656,0.436,0.857,0.909,0.902,0.916,0.909,0.197,0.071,0.066,1.434
79.2,0.598,0.525,0.766,0.882,0.806,0.974,0.882,0.145,0.055,0.033,3.565
88.9,0.598,0.521,0.808,0.891,0.873,0.91,0.891,0.192,0.069,0.066,2.23
80.6,0.529,0.568,0.78,0.897,0.829,0.978,0.897,0.191,0.07,0.061,2.231
95.7,0.656,0.46,0.902,0.92,0.918,0.922,0.92,0.183,0.072,0.083,2.228
96,0.662,0.451,0.908,0.923,0.921,0.925,0.923,0.175,0.069,0.079,2.23
88.4,0.564,0.588,0.79,0.863,0.851,0.875,0.863,0.192,0.055,0.04,2.239
92,0.645,0.446,0.844,0.904,0.895,0.913,0.904,0.157,0.066,0.059,2.23
85,0.553,0.555,0.783,0.885,0.851,0.922,0.885,0.192,0.063,0.058,2.229
96,0.663,0.451,0.908,0.923,0.922,0.925,0.923,0.216,0.08,0.082,2.227
93.6,0.665,0.428,0.867,0.911,0.906,0.917,0.911,0.188,0.067,0.057,2.212
97.6,0.701,0.395,0.94,0.936,0.936,0.937,0.936,0.184,0.063,0.069,3.01
88,0.595,0.488,0.8,0.887,0.866,0.909,0.887,0.205,0.075,0.071,3.001
97.4,0.693,0.408,0.937,0.939,0.938,0.939,0.939,0.185,0.071,0.075,3.008
97.4,0.694,0.407,0.938,0.939,0.939,0.94,0.939,0.204,0.078,0.076,3.008
85,0.553,0.555,0.783,0.885,0.851,0.922,0.885,0.175,0.066,0.072,3.006
86.9,0.583,0.497,0.79,0.88,0.856,0.907,0.88,0.232,0.08,0.072,2.99
82.1,0.527,0.57,0.779,0.89,0.836,0.951,0.89,0.197,0.059,0.066,3.008
79.4,0.612,0.589,0.776,0.897,0.826,0.98,0.897,0.218,0.074,0.043,6.142
95.1,0.68,0.432,0.893,0.925,0.922,0.929,0.925,0.16,0.059,0.066,4.573
98.3,0.715,0.383,0.959,0.955,0.955,0.955,0.955,0.209,0.081,0.081,4.567
96,0.693,0.416,0.91,0.934,0.932,0.937,0.934,0.186,0.069,0.068,4.571
93.7,0.666,0.428,0.869,0.915,0.909,0.92,0.915,0.237,0.086,0.079,4.557
98.2,0.71,0.388,0.956,0.953,0.952,0.953,0.953,0.158,0.062,0.075,4.566
90.1,0.621,0.467,0.82,0.896,0.882,0.911,0.896,0.191,0.073,0.072,4.575
98.4,0.715,0.383,0.961,0.957,0.957,0.957,0.957,0.216,0.088,0.08,6.127
79.8,0.717,0.378,0.777,0.897,0.82,0.99,0.897,0.192,0.079,0.085,6.126
80,0.72,0.373,0.782,0.904,0.826,0.998,0.904,0.187,0.076,0.083,7.692
92.4,0.644,0.473,0.849,0.905,0.897,0.913,0.905,0.172,0.07,0.074,7.694
98.1,0.708,0.391,0.953,0.951,0.951,0.951,0.951,0.21,0.086,0.086,7.694
80.1,0.545,0.474,0.782,0.903,0.828,0.993,0.903,0.167,0.07,0.087,9.275
80.2,0.547,0.495,0.782,0.902,0.828,0.989,0.902,0.22,0.084,0.081,10.835
97.8,0.702,0.397,0.947,0.947,0.946,0.947,0.947,0.146,0.069,0.075,10.839
79.8,0.716,0.375,0.777,0.897,0.819,0.99,0.897,0.25,0.092,0.049,19.601
68.3,0.36,1.184,0.59,0.703,0.691,0.716,0.703,0.192,0.084,0.035,12.422
97.9,0.719,0.382,0.95,0.953,0.953,0.954,0.953,0.181,0.076,0.066,12.406
67.5,0.512,1.047,0.548,0.735,0.681,0.797,0.735,0.176,0.045,0.049,0.046
70,0.543,1.038,0.583,0.753,0.698,0.816,0.753,0.173,0.044,0.054,0.045
74.2,0.633,0.407,0.637,0.786,0.707,0.883,0.786,0.222,0.043,0.012,0.053
75.9,0.661,0.392,0.676,0.809,0.733,0.903,0.809,0.194,0.048,0.014,0.051
69.2,0.427,0.869,0.641,0.753,0.728,0.779,0.753,0.18,0.054,0.042,0.721
73.5,0.608,0.938,0.698,0.814,0.776,0.856,0.814,0.186,0.062,0.052,0.722
70.2,0.428,0.868,0.653,0.762,0.734,0.792,0.762,0.155,0.032,0.034,0.726
77.4,0.571,0.652,0.737,0.848,0.79,0.915,0.848,0.205,0.057,0.045,0.706
71.8,0.589,0.848,0.686,0.806,0.771,0.843,0.806,0.176,0.067,0.054,0.719
71.2,0.584,0.813,0.683,0.801,0.769,0.837,0.801,0.191,0.043,0.029,0.723
70.2,0.423,0.88,0.65,0.757,0.73,0.786,0.757,0.177,0.038,0.03,0.719
78.4,0.576,0.7,0.74,0.842,0.786,0.907,0.842,0.195,0.057,0.055,1.477
80.1,0.564,0.642,0.741,0.836,0.789,0.89,0.836,0.197,0.06,0.054,1.466
72.3,0.411,0.852,0.622,0.729,0.714,0.745,0.729,0.198,0.041,0.032,1.487
72.8,0.409,0.842,0.619,0.726,0.713,0.74,0.726,0.201,0.038,0.033,1.476
80,0.567,0.683,0.712,0.804,0.778,0.833,0.804,0.161,0.052,0.045,1.476
79.6,0.571,0.683,0.72,0.814,0.78,0.85,0.814,0.194,0.063,0.056,1.476
78.8,0.444,0.759,0.691,0.777,0.759,0.796,0.777,0.202,0.039,0.038,1.464
71.9,0.453,0.766,0.659,0.763,0.741,0.787,0.763,0.164,0.055,0.051,1.479
60,0.667,0.404,0.477,0.71,0.568,0.948,0.71,0.215,0.059,0.023,3.636
80.9,0.565,0.641,0.737,0.829,0.79,0.872,0.829,0.189,0.058,0.052,2.25
82.3,0.468,0.701,0.696,0.77,0.758,0.782,0.77,0.221,0.065,0.05,2.247
82.2,0.566,0.627,0.736,0.823,0.793,0.855,0.823,0.223,0.062,0.058,2.255
77.9,0.696,0.388,0.731,0.842,0.768,0.932,0.842,0.191,0.055,0.054,2.248
80.1,0.541,0.547,0.723,0.825,0.775,0.882,0.825,0.206,0.051,0.051,2.245
78,0.697,0.386,0.731,0.843,0.769,0.933,0.843,0.188,0.049,0.053,2.248
83.8,0.499,0.657,0.687,0.761,0.758,0.764,0.761,0.173,0.033,0.039,2.244
81.2,0.568,0.6,0.749,0.844,0.8,0.893,0.844,0.203,0.057,0.059,2.247
78.8,0.547,0.596,0.739,0.839,0.778,0.912,0.839,0.19,0.054,0.056,2.229
78.3,0.569,0.714,0.74,0.842,0.782,0.912,0.842,0.196,0.059,0.055,3.027
