1.1,0.1,3.0,0.601,17891.515,0.532
1.1,0.2,3.0,0.604,18089.202,0.531
1.1,0.2,5.0,0.604,18049.591,0.531
1.1,0.4,5.0,0.605,18186.561,0.532
1.1,0.1,6.0,0.603,17942.764,0.532
1.1,0.3,6.0,0.606,18265.483,0.53
1.1,0.1,7.0,0.606,18236.779,0.53
1.1,0.2,7.0,0.606,18307.182,0.532
1.1,0.3,7.0,0.606,18202.771,0.53
1.1,0.1,8.0,0.606,18272.225,0.53
1.1,0.1,9.0,0.606,18234.623,0.53
1.1,0.2,9.0,0.607,18288.766,0.53
1.6,0.6,1.0,0.608,18433.354,0.536
1.6,0.5,2.0,0.607,18296.445,0.531
1.6,0.2,4.0,0.606,18243.639,0.53
1.6,0.2,5.0,0.602,17820.93,0.533
1.6,0.1,6.0,0.607,18285.972,0.53
1.6,0.2,6.0,0.606,18279.336,0.53
1.6,0.3,6.0,0.606,18280.351,0.53
1.6,0.2,7.0,0.605,18090.4,0.531
1.6,0.2,8.0,0.606,18273.619,0.53
1.6,0.2,9.0,0.607,18289.622,0.53
1.6,0.4,9.0,0.606,18259.317,0.53
2.1,0.4,4.0,0.602,17881.61,0.533
2.1,0.1,5.0,0.606,18242.171,0.53
2.1,0.1,6.0,0.606,18267.622,0.53
2.1,0.1,7.0,0.607,18287.145,0.53
2.1,0.2,7.0,0.607,18288.959,0.53
2.1,0.3,7.0,0.607,18287.145,0.53
2.1,0.1,8.0,0.607,18292.332,0.531
2.1,0.2,8.0,0.607,18279.209,0.531
2.1,0.3,8.0,0.607,18293.328,0.531
2.1,0.1,9.0,0.607,18292.332,0.531
2.6,0.1,4.0,0.606,18226.162,0.53
2.6,0.3,4.0,0.605,18130.289,0.531
2.6,0.1,5.0,0.606,18273.994,0.53
2.6,0.2,6.0,0.606,18268.684,0.53
2.6,0.1,7.0,0.606,18292.126,0.531
2.6,0.2,7.0,0.607,18291.437,0.53
2.6,0.1,8.0,0.607,18283.895,0.53
2.6,0.2,9.0,0.607,18293.803,0.531
3.1,0.1,4.0,0.606,18264.176,0.53
3.1,0.2,4.0,0.606,18237.663,0.53
3.1,0.1,5.0,0.606,18280.351,0.53
3.1,0.2,5.0,0.606,18234.481,0.53
3.1,0.3,5.0,0.605,18134.914,0.531
3.1,0.1,6.0,0.606,18287.826,0.53
3.1,0.2,6.0,0.606,18236.779,0.53
3.1,0.1,7.0,0.607,18300.328,0.531
3.1,0.2,7.0,0.607,18300.328,0.531
3.1,0.1,8.0,0.607,18294.779,0.531
3.1,0.2,8.0,0.607,18284.255,0.531
3.1,0.1,9.0,0.607,18292.332,0.531
3.1,0.2,9.0,0.607,18286.131,0.531
3.6,0.4,1.0,0.602,17796.991,0.533
3.6,0.1,3.0,0.604,18149.35,0.531
3.6,0.2,4.0,0.606,18245.942,0.53
3.6,0.1,5.0,0.606,18236.566,0.53
3.6,0.3,5.0,0.605,18104.172,0.531
3.6,0.1,6.0,0.607,18291.703,0.53
3.6,0.2,6.0,0.607,18272.788,0.53
3.6,0.1,7.0,0.607,18285.296,0.531
3.6,0.2,7.0,0.607,18292.409,0.53
3.6,0.3,7.0,0.607,18278.993,0.531
3.6,0.1,8.0,0.607,18293.328,0.531
3.6,0.2,9.0,0.607,18300.328,0.531
4.1,0.2,1.0,0.605,18196.966,0.53
4.1,0.1,3.0,0.604,18101.517,0.532
4.1,0.1,4.0,0.606,18259.34,0.53
